State,"AgeAdjustedDeathRatesF-per100,1000",AgeLconfF,AgeUconfF,AverageAnnualCountF,Recent5-YearTrendF,RLconfF,RUconfF,RecentTrend,TrendF,"AgeAdjustedDeathRate-CasesPer100,000",AgeLconfM,AgeUconfM,AverageAnnualCountM,Recent5-YearTrendIncidenceRates,RLconfM,RUconfM,TrendM,RecentTrendM,AgeAdjustedDeathRateA,LconfA,UconfA,AverageAnnualCount,Recent5YrTrend,RLconfA,RUconfA,RecentTrendA,TrendA
Alabama,5.1,4.8,5.5,160.0,-0.9,-1.3,-0.5,falling,-1,9.8,9.2,10.4,228.0,-0.7,-1.3,0.0,stable,0,7.1,6.8,7.4,388.0,-0.7,-1.1,-0.3,falling,-1
Alaska,4.8,3.6,6.1,12.0,,,,,1,7.3,5.7,9.1,19.0,0.5,-1.6,2.6,stable,0,6.0,5.1,7.1,31.0,-1.3,-2.6,-0.1,falling,-1
Arizona,4.6,4.3,5.0,188.0,-1.1,-1.6,-0.5,falling,-1,8.5,8.0,8.9,291.0,-0.9,-1.4,-0.4,falling,-1,6.4,6.1,6.6,479.0,-0.9,-1.3,-0.5,falling,-1
Arkansas,5.2,4.7,5.7,98.0,-0.9,-1.4,-0.3,falling,-1,10.2,9.5,11.0,151.0,-0.6,-1.1,0.0,stable,0,7.3,6.9,7.8,249.0,-0.6,-1.0,-0.2,falling,-1
California,4.8,4.7,5.0,1040.0,-0.9,-1.1,-0.8,falling,-1,8.3,8.1,8.5,1389.0,-1.1,-1.2,-0.9,falling,-1,6.3,6.2,6.4,2429.0,-1.0,-1.1,-0.8,falling,-1
Colorado,4.4,4.1,4.8,125.0,-1.3,-1.9,-0.8,falling,-1,8.3,7.8,8.9,186.0,-1.2,-1.6,-0.8,falling,-1,6.1,5.8,6.4,311.0,-1.2,-1.5,-0.9,falling,-1
Connecticut,4.8,4.4,5.2,126.0,-1.2,-1.6,-0.8,falling,-1,8.8,8.2,9.5,161.0,-0.7,-1.2,-0.2,falling,-1,6.5,6.2,6.9,287.0,-0.8,-1.2,-0.5,falling,-1
Delaware,4.7,3.9,5.5,30.0,-1.8,-3.0,-0.6,falling,-1,9.1,7.9,10.4,43.0,-1.1,-1.8,-0.4,falling,-1,6.5,5.9,7.3,72.0,-1.1,-1.7,-0.5,falling,-1
District of Columbia,3.9,3.1,5.0,15.0,,,,,1,7.5,6.0,9.3,17.0,-1.6,-2.7,-0.4,falling,-1,5.3,4.5,6.2,32.0,-1.7,-2.4,-0.9,falling,-1
Florida,4.7,4.5,4.9,703.0,-1.0,-1.2,-0.8,falling,-1,8.5,8.3,8.7,1027.0,-1.3,-1.8,-0.8,falling,-1,6.4,6.3,6.5,1730.0,-1.2,-1.6,-0.9,falling,-1
Georgia,4.7,4.4,5.0,247.0,-1.2,-1.6,-0.8,falling,-1,8.4,8.0,8.9,331.0,-1.2,-1.6,-0.9,falling,-1,6.3,6.0,6.5,578.0,-1.1,-1.4,-0.8,falling,-1
Idaho,5.0,4.4,5.7,46.0,-3.4,-5.7,-1.1,falling,-1,8.4,7.5,9.4,65.0,-1.1,-1.8,-0.4,falling,-1,6.6,6.0,7.2,111.0,-1.0,-1.5,-0.4,falling,-1
Illinois,5.3,5.1,5.5,428.0,-1.1,-1.4,-0.8,falling,-1,9.5,9.2,9.9,550.0,-0.8,-1.1,-0.5,falling,-1,7.0,6.8,7.2,978.0,-0.9,-1.1,-0.6,falling,-1
Indiana,5.6,5.3,5.9,229.0,-0.7,-1.0,-0.4,falling,-1,10.1,9.5,10.6,307.0,-0.4,-0.8,-0.1,falling,-1,7.5,7.2,7.8,536.0,-0.5,-0.7,-0.2,falling,-1
Iowa,5.0,4.6,5.4,112.0,-1.1,-1.5,-0.6,falling,-1,9.5,8.8,10.2,155.0,-0.8,-1.4,-0.2,falling,-1,6.9,6.5,7.3,267.0,-5.1,-13.1,3.5,stable,0
Kansas,5.7,5.2,6.2,105.0,-0.5,-1.0,0.0,stable,0,10.2,9.5,11.0,142.0,-0.4,-0.7,0.0,stable,0,7.6,7.2,8.0,247.0,-0.3,-0.7,0.0,stable,0
Kentucky,5.8,5.4,6.2,159.0,-0.1,-0.6,0.4,stable,0,9.6,9.0,10.2,198.0,-0.7,-1.3,-0.1,falling,-1,7.4,7.0,7.7,357.0,-0.4,-0.7,0.0,stable,0
Louisiana,5.0,4.7,5.4,138.0,-1.0,-1.4,-0.5,falling,-1,9.2,8.6,9.8,186.0,-1.2,-1.6,-0.8,falling,-1,6.8,6.4,7.1,324.0,-1.0,-1.4,-0.7,falling,-1
Maine,5.3,4.6,6.0,54.0,-0.7,-1.5,0.1,stable,0,8.7,7.8,9.7,69.0,-1.0,-1.9,-0.1,falling,-1,6.8,6.3,7.4,123.0,-0.7,-1.4,0.0,stable,0
Maryland,4.8,4.4,5.1,174.0,-1.0,-1.5,-0.6,falling,-1,8.8,8.3,9.4,232.0,-1.3,-2.0,-0.6,falling,-1,6.5,6.2,6.7,405.0,-0.8,-1.1,-0.5,falling,-1
Massachusetts,4.9,4.6,5.2,224.0,-0.8,-1.2,-0.5,falling,-1,8.7,8.2,9.2,283.0,-1.0,-1.3,-0.6,falling,-1,6.5,6.2,6.7,507.0,-0.8,-1.1,-0.5,falling,-1
Michigan,5.1,4.9,5.4,335.0,-1.0,-1.4,-0.6,falling,-1,9.5,9.1,9.8,470.0,-0.7,-0.9,-0.4,falling,-1,7.0,6.7,7.2,805.0,-0.7,-1.0,-0.5,falling,-1
Minnesota,5.2,4.9,5.6,181.0,-1.0,-1.4,-0.6,falling,-1,9.8,9.3,10.4,259.0,-1.1,-1.5,-0.7,falling,-1,7.2,6.9,7.5,440.0,-1.0,-1.3,-0.7,falling,-1
Mississippi,5.0,4.5,5.5,90.0,-3.3,-5.7,-0.8,falling,-1,9.9,9.1,10.7,134.0,-0.3,-0.8,0.3,stable,0,7.1,6.7,7.5,224.0,-0.4,-0.8,0.1,stable,0
Missouri,5.4,5.1,5.7,218.0,-1.0,-1.4,-0.7,falling,-1,9.7,9.2,10.2,293.0,-1.9,-3.3,-0.5,falling,-1,7.2,6.9,7.5,511.0,-0.6,-0.9,-0.3,falling,-1
Montana,4.4,3.7,5.2,31.0,-1.5,-2.3,-0.7,falling,-1,8.0,7.0,9.1,47.0,-1.5,-2.2,-0.7,falling,-1,6.1,5.5,6.8,77.0,-1.4,-2.0,-0.8,falling,-1
Nebraska,5.2,4.7,5.9,65.0,-0.7,-1.6,0.2,stable,0,9.4,8.6,10.4,86.0,-0.7,-1.4,-0.1,falling,-1,7.0,6.5,7.6,151.0,-0.5,-1.0,0.0,stable,0
Nevada,4.8,4.3,5.3,71.0,-1.2,-2.0,-0.4,falling,-1,8.8,8.0,9.5,114.0,-1.1,-1.8,-0.3,falling,-1,6.6,6.2,7.0,186.0,-1.0,-1.6,-0.4,falling,-1
New Hampshire,4.5,3.9,5.2,40.0,-1.3,-2.2,-0.3,falling,-1,8.8,7.8,9.9,61.0,-0.9,-1.8,-0.1,falling,-1,6.4,5.8,7.0,102.0,-0.9,-1.4,-0.4,falling,-1
New Jersey,4.9,4.7,5.2,291.0,-1.4,-1.8,-1.0,falling,-1,8.5,8.1,8.9,362.0,-1.6,-2.0,-1.2,falling,-1,6.4,6.2,6.6,653.0,-1.5,-1.8,-1.2,falling,-1
New Mexico,4.0,3.5,4.6,52.0,-1.3,-2.0,-0.6,falling,-1,7.5,6.8,8.3,78.0,-1.3,-1.9,-0.6,falling,-1,5.6,5.2,6.0,129.0,-1.2,-1.8,-0.7,falling,-1
New York,4.8,4.6,4.9,622.0,-1.1,-1.2,-0.9,falling,-1,8.7,8.5,9.0,816.0,-0.7,-0.9,-0.5,falling,-1,6.4,6.2,6.5,1438.0,-0.8,-0.9,-0.6,falling,-1
North Carolina,4.9,4.6,5.1,297.0,-1.0,-1.3,-0.7,falling,-1,9.0,8.6,9.4,402.0,-0.6,-0.9,-0.3,falling,-1,6.6,6.3,6.8,700.0,-0.7,-0.9,-0.5,falling,-1
North Dakota,4.7,3.8,5.7,22.0,-1.3,-2.3,-0.2,falling,-1,9.0,7.7,10.5,33.0,-1.0,-2.1,0.0,stable,0,6.6,5.8,7.4,55.0,-1.0,-1.9,-0.2,falling,-1
Ohio,5.4,5.1,5.6,423.0,-0.9,-1.2,-0.7,falling,-1,9.5,9.1,9.8,548.0,-0.8,-1.1,-0.5,falling,-1,7.1,6.9,7.3,970.0,-0.8,-1.0,-0.6,falling,-1
Oklahoma,5.9,5.4,6.3,139.0,-0.4,-0.9,0.0,stable,0,10.2,9.6,10.9,188.0,-0.4,-0.8,-0.1,falling,-1,7.7,7.4,8.1,327.0,-0.3,-0.6,0.0,stable,0
Oregon,4.5,4.1,4.9,115.0,-1.5,-1.9,-1.0,falling,-1,8.9,8.3,9.5,181.0,-1.1,-1.6,-0.6,falling,-1,6.4,6.1,6.7,296.0,-5.8,-11.7,0.4,stable,0
Pennsylvania,5.4,5.1,5.6,504.0,-0.9,-1.2,-0.7,falling,-1,9.3,9.0,9.7,650.0,-0.8,-1.0,-0.5,falling,-1,7.0,6.8,7.2,1153.0,-0.8,-0.9,-0.6,falling,-1
Rhode Island,4.7,4.0,5.4,37.0,-0.7,-1.7,0.2,stable,0,9.2,8.0,10.4,49.0,-0.3,-1.0,0.4,stable,0,6.5,5.9,7.2,86.0,-0.4,-0.9,0.2,stable,0
South Carolina,5.0,4.7,5.4,151.0,-0.8,-1.2,-0.4,falling,-1,9.2,8.6,9.8,208.0,-0.5,-1.1,0.1,stable,0,6.7,6.4,7.0,358.0,-0.5,-0.9,-0.1,falling,-1
South Dakota,5.7,4.8,6.7,32.0,-0.4,-1.2,0.4,stable,0,10.4,9.1,11.9,46.0,-0.6,-1.5,0.4,stable,0,7.8,7.0,8.6,78.0,-0.3,-1.0,0.3,stable,0
Tennessee,5.1,4.8,5.4,211.0,-1.1,-1.6,-0.7,falling,-1,9.6,9.1,10.1,296.0,-0.7,-1.1,-0.3,falling,-1,7.0,6.7,7.3,506.0,-0.8,-1.1,-0.5,falling,-1
Texas,4.9,4.7,5.1,653.0,-1.2,-1.5,-0.8,falling,-1,8.9,8.7,9.2,916.0,-1.1,-1.3,-0.8,falling,-1,6.6,6.5,6.8,1569.0,-1.0,-1.2,-0.8,falling,-1
Utah,5.2,4.6,5.8,65.0,-0.6,-1.5,0.4,stable,0,8.6,7.8,9.5,89.0,-0.4,-1.4,0.6,stable,0,6.7,6.2,7.2,154.0,-0.4,-1.1,0.4,stable,0
Vermont,4.6,3.8,5.6,21.0,-1.2,-2.5,0.0,stable,0,9.0,7.6,10.7,30.0,-0.7,-1.7,0.2,stable,0,6.6,5.8,7.4,51.0,-0.9,-1.7,0.0,stable,0
Virginia,4.5,4.3,4.8,219.0,-1.4,-1.7,-1.0,falling,-1,8.5,8.1,8.9,313.0,-1.0,-1.4,-0.6,falling,-1,6.2,6.0,6.4,532.0,-1.1,-1.3,-0.8,falling,-1
Washington,5.0,4.7,5.3,207.0,-0.9,-1.3,-0.5,falling,-1,8.5,8.1,9.0,277.0,-3.2,-5.1,-1.4,falling,-1,6.5,6.3,6.8,484.0,-0.9,-1.2,-0.6,falling,-1
West Virginia,6.0,5.4,6.7,82.0,-0.8,-1.3,-0.2,falling,-1,10.0,9.2,11.0,103.0,-0.6,-1.2,0.0,stable,0,7.7,7.2,8.3,185.0,-0.6,-1.0,-0.1,falling,-1
Wisconsin,5.5,5.2,5.8,212.0,-1.0,-1.4,-0.6,falling,-1,9.9,9.4,10.4,288.0,-6.2,-13.0,1.1,stable,0,7.4,7.1,7.7,500.0,-0.7,-1.0,-0.3,falling,-1
Wyoming,6.2,5.0,7.6,20.0,-0.1,-1.5,1.3,stable,0,9.4,7.9,11.2,27.0,-0.6,-1.5,0.2,stable,0,7.6,6.7,8.7,47.0,-0.3,-1.2,0.5,stable,0
